userName,content,reviewCreatedVersion
Asep Setiawan,"['aplikasi', 'jelek', 'banget', '', 'satu', 'wadah', 'daftar', 'buka', 'web', 'pertamina', 'waktu', 'kerja', 'lambat', 'menit', 'ulang', 'coba', 'aplikasi', 'perintah', 'smart', 'kalah', 'app', 'belah']",3.7.3
Nanang Purwo A G W,"['apk', 'jalan', 'mesti', 'kolom', 'ambil', 'barkodnya', 'fungsi', 'suruh', 'input', 'data', 'nik', 'nopol', 'kendara', 'tera', 'nopol', 'nik', '', 'daftar', 'hmmmm', 'bikin', 'rakyat', 'sengsara']",3.7.3
FADLIKAL TM,"['aplikasi', 'evaluasi', 'aplikasi', 'settelment', 'tahun', 'mengumoulkan', 'poin', 'settel', 'ooinnya', 'produk', 'aplikasi', 'toko', 'belah', 'ganti', 'tahun', 'ganti', 'poin', 'mending', 'bayar', 'cash', 'banding', 'link', 'too', 'up', 'fee']",3.7.3
leongs kings,"['kecewa', 'menginstal', 'daftar', 'guna', 'bbm', 'subsidi', 'jenis', 'pertalite', 'guna', 'beli', 'pertalite', 'guna', 'akun', 'mobil', 'tnkb', 'nama', 'beli', 'solar', 'mobil', 'bahan', 'bakar', 'jenis', 'bensin', 'solar', 'nomor', 'mobil', 'beli', 'solar']",3.7.3
Satrio,"['', 'bawa', 'uang', 'cash', 'gantung', 'aplikasi', 'pertamina', 'kecewa', 'selesai', 'isi', 'pertamax', 'bayar', 'pertamina', 'ganggu', 'malu', 'saat', '', 'bawa', 'uang', 'cash', 'kali', 'malu', 'aplikasi', 'bayar', 'alami', 'ganggu', 'ambil', 'uang', 'atm']",3.7.3
Ari Wibowo,"['verifikasi', 'barcode', 'claim', 'gak', 'bsa', 'nik', 'kendara', 'daftar', 'pdhl', 'web', 'barcode']",3.7.3
Margi Danang,"['data', 'langgan', 'data', 'foto', 'kendara', 'nomor', 'rangka', 'mesin', 'verifikasi', 'hariii', 'hubung', 'cs', 'via', 'telfon', 'banyak', 'promosi', 'cs', '', 'relevan', 'biaya', 'telfon', 'mahal', 'menit', 'pulsa', 'habis', 'layan', 'heiiii', 'perintah']",3.7.3
Sulissetiyanto _20,"['kurang', 'puas', 'sistem', 'poin', 'poin', 'bedasarkan', 'sistem', 'banyak', 'roda', 'dapet', 'marchendes', 'roda', 'isi', 'dapet', 'poin']",3.7.3
Jaya Iskandar,"['barcode', 'kuota', 'habis', 'transaksi', 'isi', 'bbm', 'kendara', 'privasi', '', 'barcode', 'nomor', 'kendara']",3.7.3
Sosro Tadi,"['kendala', 'daftar', 'roda', 'ttp', 'solved', 'memng', 'hubung', 'link', 'gak', 'repot', 'tambah', 'bank', 'nemu', 'kendala', 'call', 'center', 'sigap', 'respons']",3.7.3
putra 07,"['jujur', 'instal', 'aplikasi', 'kasih', 'rating', 'sdah', 'isi', 'bbm', 'bio', 'solar', 'bm', 'kendara', 'sdah', 'rugi', 'isi', 'bbm', 'lgi', 'ngasal', 'input', 'plat', 'bm', 'orng', 'aplikasi']",3.7.3
Chevy Hot,"['aplikasy', 'mypertamina', 'didownload', 'memdafar', 'aneh', 'fan', 'beda', 'mypertamina', 'asli', 'aplikasi', 'mypertmina', 'abal', 'abal', 'nyedot', 'data', 'daftar', 'pertamina', 'harusn', 'aplikasi', 'asli', 'abal', 'abal']",3.7.3
Darta Dpi,"['aplikasi', 'stabil', 'loading', 'input', 'data', 'pakai', 'wifi', 'data', 'lambat', 'blank', 'page']",3.7.3
Alif Syuhada,"['apk', 'tingkat', 'nasional', 'kaya', 'gin', 'daftar', 'apk', 'bagus', 'bikin', 'kerja', 'buang', 'buang', 'waktu', 'buang', 'buang', 'waktu', 'apk', 'pakai', 'emang', 'setan']",3.7.3
Korvel Studio,"['bug', 'relog', 'terus', 'gestur', 'sandi', 'force', 'close', 'lambat', 'muat', 'verifikasi']",3.7.3
Afifah Nadya Aini,"['baik', 'aplikasi', 'bayar', 'dipilihakan', 'option', 'mudah', 'guna', 'kuat', 'optimal', 'aplikasi', 'masyarakat']",3.7.3
M Habiib,"['aplikasi', 'gak', 'kali', 'ubah', 'password', 'gabisa', 'login', 'login', 'error', 'bingung', 'maksutnya']",3.7.3
Muh Tibri,"['guna', 'aplikasi', 'pertamina', 'guna', 'kendala', 'repot', 'salah', 'satu', 'kurang', 'sigap', 'operator', 'spbu', 'isi', 'alat', 'barcode', 'makan', 'waktu', 'ketimbang', 'bayar', 'cash', 'mohon', 'depa', 'tingkat', 'kesiap', 'operator', 'costumer', 'beli', 'mypertamina']",3.7.3
QYQYMARZ channel,"['aplikasi', 'bantu', 'banget', 'sakit', 'darah', 'tinggi', 'biar', 'cepet', 'mati', 'bikin', 'app', 'tpi', 'engganya', 'bikin', 'bener', 'rugi', 'banget', 'karna', 'mendownload', 'pake', 'kouta', 'tpi', 'gin', 'aplikasi']",3.7.3
CHANNEL SAMPAH,"['aplikasi', 'payah', 'ga', 'mudah', 'sulit', 'daftar', 'subsidi', 'daftar', 'data', 'sndiri', 'ribet', 'cerdas', 'buka', 'cerdas']",3.7.3
Sopo Phoncel,"['aplikasi', 'gagal', 'gak', 'tau', 'ngebug', 'bolak', 'ga', 'sadar', 'bayar', 'pajak', 'bayar', 'bikin', 'aplikasi', 'gagal', 'aplikasi', 'milik', 'negara', 'kelas', 'milik', 'negara', 'kualitas', 'kurang', 'muas']",3.7.3
Andy Liumena,"['aplikasi', 'far', 'gagal', 'muat', 'menu', 'poin', 'celaka', 'sdm', 'lapang', 'geblek', 'pilih', 'bayar', 'terima', 'bayar', 'link', 'kendara', 'roda', 'mesti', 'ganti', 'telkomsel', 'nontunai', 'pakai', 'mypertamina']",3.7.3
Novian 1811,"['mao', 'login', 'susah', 'buka', 'email', 'pas', 'buka', 'email', 'tab', 'login', 'ulang', 'pas', 'login', 'pake', 'tab', 'upload', 'foto', 'cari', 'foto', 'galeri', 'pas', 'ngulang', 'login', 'buang', 'waktu', 'bom', 'gak', 'maksain', 'pake', 'apk', 'apk', 'prettttttt']",3.7.3
Pt. Nwp,"['daftar', 'subsidi', 'sulit', 'batas', 'upload', 'file', 'batas', 'tolong', 'resolusi', 'kamera', 'turunin', 'resolusi', 'gambar', 'burik', '', 'baca', 'alhasil', 'daftar', 'gagal']",3.7.3
Ismail Haroen,"['', 'rakyat', 'kendara', 'roda', 'sepeda', 'motor', 'ojek', 'online', 'cari', 'nafkah', 'ojol', 'kendara', 'roda', 'subsidi', 'sasar', 'terap', 'sesuai', 'harap', 'sempurna', 'hemat', 'bbm', 'daftar', 'kendara', 'roda', 'batas', 'limit', 'beli', 'kendara', 'hari', 'maximum', 'liter', 'bbm', 'subsidi', '', 'disalahgunakan', 'jual']",3.7.3
nur yatna,"['knpa', 'aplikasi', 'henti', 'ganggu', 'server', '', 'baik', 'mas', 'kendala', 'sperti', 'biar', 'langgan', 'puas', 'bagi', 'cashback', 'ko', 'gak', 'pertamax', 'susah', 'daftar', 'subsiditepat', '', 'tahap']",3.7.3
komang astita,"['daftar', 'email', 'password', 'karakter', 'huruf', 'via', 'pc', 'pas', 'login', 'pakai', 'aplikasi', 'muncul', 'tlp', 'ga', 'singkron', 'website', 'aplikasi']",3.7.3
Bocil Indo,"['pakai', 'aplikasi', 'keren', 'doang', 'fungsi', 'nol', 'gak', 'guna', 'aplikasi', 'beranta', 'publikasi', 'aplikasi', 'kurang', 'sempurna', 'rakyat', 'guna', 'gaptek']",3.7.3
Lims ID,"['app', 'isi', 'bbm', 'marketplace', 'ikut', 'marketplace', 'pop', 'up', 'iklan', 'beda', 'topik', 'tau', 'simple', 'orng', 'isi', 'bbm', 'ken', 'cepat', 'gak', 'mongkrong', 'spbu', 'fungsi', 'utama', 'minyak', 'minyak', 'minyak']",3.7.3
Tranz Adhy,"['ribet', 'isi', 'solar', 'skrng', 'suruh', 'dftar', 'pertamina', 'oke', 'daftar', 'akun', 'gilir', 'waktu', 'verifikasi', 'login', 'kode', 'krim', 'email', '', 'valid', 'ngetik', 'bener', 'tetep', 'gak', 'sampek', 'gua', 'kode', 'verifikasi', 'smpek', 'kode', 'tetep', 'gak', 'akun', 'gua', 'non', 'aktif', 'hari', 'toooo', 'riii', 'untung', 'enek', 'toleran', 'ngisi', 'solar', 'gak', 'gak', 'iso', 'jalan', 'mobil']",3.7.3
Pramsedany 5656,"['aplikasi', 'sulit', 'hidup', 'beli', 'solar', 'traktor', 'aplikasi', 'eror', 'kadang', 'bikin', 'aplikasi', 'dibenerin', 'sistem', 'lapang']",3.7.3
Dika Tak Bermain - Main,"['aplikasi', 'ga', 'mikir', 'udh', 'daftar', 'barcode', 'hp', 'ilang', 'login', 'lgi', 'susah', 'kode', 'perivikasi', 'kirim', 'hp', 'hilang']",3.7.3
vicky fristyan,"['aplikasi', 'sebenernya', 'bagus', 'bantu', 'masalah', 'bayar', 'ganggu', 'nunggu', 'karyawan', 'spbu', '', 'paham', 'metode', 'bayar', 'aplikasi', 'pertamina', 'parah', 'bilang', '', 'bayar', 'aplikasi', 'pertamina']",3.7.0
Syafrullah,"['aplikasi', '', 'alas', 'lapang', 'ganggu', 'masak', 'kalah', 'bigo', 'tiktok', 'aplikasi', 'negara', 'gin', 'ganggu', 'palembang']",3.7.3
Putu Suarta,"['ngelag', 'aplikasi', 'daftar', 'loading', '', 'simpan', 'data', 'diinput', 'kacau', 'banget', 'app', 'mudah']",3.7.1
Setyawan Valenzia,"['isi', 'cek', 'data', 'tolak', 'waktu', 'beli', 'bbm', 'plat', 'nomer', 'samsat', 'data', 'pertalite', 'mobil', 'phanter', 'bbm', 'bio', 'solar', 'data', 'pertalite', 'aplikasi', 'bingung', 'guna', 'pegawai', 'jga', 'sorry', 'kasih', 'bintang', 'bintang', 'baik']",3.7.3
Haryo Yoga,"['aplikasi', 'mas', 'bug', 'ngga', 'sambung', 'aplikasi', 'bayar', 'link', 'total', 'beli', '', 'muncul', 'kendara', 'cantum']",3.7.3
Nilawati Mei,"['susah', 'menu', 'bingung', 'daftar', 'verifikasi', 'gak', 'tampil', 'qrnya', 'gak', 'pakai', 'diwebsite', 'sia', 'sia', 'download', 'appnya', 'cuman', 'pajang']",3.7.1
Rahmat Berlian,"['aplikasi', 'gagal', '', 'hubung', 'bayar', 'link', 'muncul', 'salah', 'aplikasi', 'silah', 'coba', 'ikut', 'arah', 'cs', 'pertamina', 'kendala', '', 'selesai', 'developer', 'aplikasi', 'gagal', 'rilis', 'bikin', 'emosi']",3.7.1
Miftah Khurrohmat,"['aplikasi', 'kk', 'dapetin', 'barkot', 'dapet', 'barkot', 'cek', 'vocer', 'seharsnya', 'dh', 'daftar', 'cek', 'vocer', 'cek', 'riwayat', 'isi', 'spbu', 'aplikasi', 'model', 'gin', 'plat', 'barkot', 'daftar', 'ribet', 'aplikasi', 'fungsi']",3.7.3
Siwi Pamungkas,"['ribet', '', 'bantu', 'kode', 'otp', 'ngga', 'ganti', 'nomor', 'ttep', 'gak', 'kode', 'otp', 'apk', 'gak', '', 'bantu', 'susah', 'hapus', 'apk', 'ngga']",3.7.3
Is Hardi,"['aplikasi', 'rugi', 'isi', 'bbm', 'mypertamina', 'saldo', 'potong', 'otomatis', 'bukti', 'transaksi', 'bbm', '', 'transaksi', 'bayar', 'pakai', 'tunai', 'bayar', '', 'baik', 'aplikasi']",3.7.3
Ika Sari,"['aplikasi', 'kurang', 'pada', 'isi', 'data', 'slah', 'hubung', 'call', 'center', 'call', 'email', 'kasih', 'solusi', 'salah', 'data', 'updte', 'ulang', 'data', 'salah']",3.7.3
Teguh Supurbo,"['ulas', 'ulas', 'guna', 'upload', 'struk', 'take', 'picture', 'ambil', 'photo', 'galeri', '', 'cerah', 'guna', 'app', 'mypertamina', 'kesan', 'ksini', 'kesana']",3.7.1
david suryadarma,"['aplikasi', 'buruk', 'kelas', 'bumn', 'tombol', '', 'home', 'login', 'ulang', 'bayang', 'isi', 'data', 'home', 'gak', 'tensi', 'upload', 'stnk', 'ulang', 'ulang', 'data', 'tolak', 'alas', 'stnk', '', 'baca', 'alas', 'bodoh', 'batas', 'besar', 'data', 'baca', 'ambil', 'foto', 'kamera', 'upload', 'file', 'besar', 'bodoh']",3.7.3
sander xarim,"['bagus', 'daftar', 'gampang', 'tau', 'daftar', 'aplikasi', 'kadang', 'masalah', 'alternatif', 'diweb', 'subsidi', 'terkadang', 'hp', '', 'support', 'aplikasi', 'edit', 'data', 'bagus', 'aplikasi', 'diweb', 'bug', 'web', 'daftar', 'centang', 'pilih', 'daftar', 'isi', 'data', 'daftar', 'ukur', 'foto', '', 'kompres', 'kode', 'verifikasi', 'kirim', 'email']",3.7.3
Didi Be,"['scan', 'qr', 'scan', 'ulang', 'scan', 'ulang', '', 'tingkat', 'harus', 'cepat', 'hambat', 'kesal']",3.7.3
ToarCh Pantow,"['kasih', 'bintang', 'isi', 'bbm', 'scan', 'barcode', 'duhulu', 'apk', 'bayar', 'isi', 'bbm', 'bbm', 'isi', 'scan', 'barcode', 'bayar', 'jadi', '', 'enak', 'apk', '', 'bayar', 'bbm', 'tengki', 'mobil', '', 'uang', 'cash', 'alhasil', 'malu', 'untung', 'tugas', 'spbu', 'isi', 'bbm', 'mengijinkan', 'bayar', 'cash']",3.7.3
H Nuril Anwar,"['', 'batas', 'upload', 'file', 'gambar', 'kasih', 'panjang', 'max', 'pixel', 'lebar', 'max', 'pixel', 'ukur', 'max', 'susah', 'resize', 'gin', 'resize', 'segitu', 'aplikasi', 'buat', 'negara', 'serius', 'aplikasi', 'bca', 'bagus']",3.7.3
THOLAY Gaming,"['bikin', 'aplikasi', 'bilang', 'gua', 'bikin', 'aplikasi', 'kaya', 'gin', 'lot', 'dasar', 'indo', 'kasi', 'rakyat', 'sulit', 'beli', 'bbm', 'harga', 'bbm', 'sulit', 'pake', 'aplikasi', 'becus', 'bikin']",3.7.3
Kusyatiningsih Kusyatiningsih,"['kecewa', 'loading', 'baru', 'data', '', 'baik', 'applikasi', 'butuh', 'masyarakat']",3.7.3
hasyim elhumran,"['daftar', 'plat', 'mobil', 'solar', 'plat', 'gak', 'daftar', 'ubah', 'pertalite', 'atur', 'rumit', 'mudah', 'susah', 'rakyat', 'daftar', 'gagal', 'data', 'mobil', 'bener', 'gagal']",3.7.3
Yusrizal Siregar,"['apa', 'metode', 'bayar', 'pilih', 'aktif', 'linkaja', 'sulit', 'linkaja', 'blokir', 'lupa', 'password', 'aktif', 'sulit']",3.7.3
Moh Fausul,"['aplikasi', 'manfaat', 'ribet', 'launching', 'sign', 'verifikasi', 'kode', 'email', 'aplikasi', 'pakai', 'beli', 'bbm', 'data', 'beli', 'bbm', 'aplikasi', 'liter', 'manfaat', 'aplikasi', 'aplikasi', 'isi', 'pegawai', 'spbu']",3.7.3
Tuwari SE,"['bln', 'lalau', 'beli', 'mobil', 'daftar', 'pertmamina', 'subsidi', 'mobil', 'nama', 'daftar', 'bekum', 'konfirmasi', 'daftar', 'mobil', 'ktp', 'plat', 'nomor', 'ganti', 'blum', 'buka', 'qrcode', 'muncul', 'nopol']",3.7.3
